scene,angle_deg,category,direction,vx,vy,yaw,control_result,process_result,exit_code,log,csv
10-platform,10,STRAIGHT,up,0.3,0,0,PASS,OK,0,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10-platform_STRAIGHT_up.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10-platform_STRAIGHT_up.csv
10-platform,10,STRAIGHT,down,-0.3,0,0,FAIL,OK,2,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10-platform_STRAIGHT_down.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10-platform_STRAIGHT_down.csv
10-platform,10,DIAGONAL,up,0.25,0.20,0,PASS,OK,0,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10-platform_DIAGONAL_up.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10-platform_DIAGONAL_up.csv
10-platform,10,DIAGONAL,down,-0.25,0.20,0,PASS,OK,0,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10-platform_DIAGONAL_down.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10-platform_DIAGONAL_down.csv
10,10,CROSS,left,0,0.3,0,FAIL,OK,2,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10_CROSS_left.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10_CROSS_left.csv
10,10,CROSS,right,0,-0.3,0,FAIL,OK,2,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10_CROSS_right.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10_CROSS_right.csv
10,10,TURN,left,0,0,0.5,FAIL,ERROR,134,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10_TURN_left.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10_TURN_left.csv
10,10,TURN,right,0,0,-0.5,FAIL,OK,2,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10_TURN_right.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/10_TURN_right.csv
15,15,STAND,neutral,0,0,0,FAIL,OK,3,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15_STAND_neutral.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15_STAND_neutral.csv
15-platform,15,STRAIGHT,up,0.3,0,0,PASS,OK,0,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15-platform_STRAIGHT_up.log,/home/khanh248/Documents/HB/Mujoco/unitree_mujoco/simulate_cpp/results/meta_policy_paper_20260828/repeats/repeat_3/15-platform_STRAIGHT_up.csv
