variant,scene,case,vx,vy,yaw,hold_s,control_result,process_result,exit_code,log,csv
baseline,flat,flat_stand,0,0,0,8,PASS,OK,0,results/meta_policy_paper_20260828/ablations/closed_loop/baseline/flat_stand.log,results/meta_policy_paper_20260828/ablations/closed_loop/baseline/flat_stand.csv
baseline,15-platform,platform_up,0.3,0,0,10,PASS,OK,0,results/meta_policy_paper_20260828/ablations/closed_loop/baseline/platform_up.log,results/meta_policy_paper_20260828/ablations/closed_loop/baseline/platform_up.csv
baseline,15-platform,platform_down,-0.3,0,0,10,FAIL,ERROR,134,results/meta_policy_paper_20260828/ablations/closed_loop/baseline/platform_down.log,results/meta_policy_paper_20260828/ablations/closed_loop/baseline/platform_down.csv
baseline,15,direct_up,0.3,0,0,10,FAIL,OK,3,results/meta_policy_paper_20260828/ablations/closed_loop/baseline/direct_up.log,results/meta_policy_paper_20260828/ablations/closed_loop/baseline/direct_up.csv
baseline,mixed,mixed_traverse,0.4,0,0,48,FAIL,OK,3,results/meta_policy_paper_20260828/ablations/closed_loop/baseline/mixed_traverse.log,results/meta_policy_paper_20260828/ablations/closed_loop/baseline/mixed_traverse.csv
