1.879627257585525513e-02,-1.075571682304143906e-02,8.115254640579223633e-01,-4.784364718943834305e-03,6.116522848606109619e-02,8.080969452857971191e-01,5.858457684516906738e-01,1.091943681240081787e-01,2.312425523996353149e-01,6.218793988227844238e-01,1.946715116500854492e-01,5.675512924790382385e-02,-8.056467026472091675e-02,-3.403836488723754883e-02,-3.516196906566619873e-01,-7.780208587646484375e-01,7.553429156541824341e-02,-9.558705613017082214e-03,1.187863126397132874e-01,5.440836027264595032e-02,5.332212150096893311e-02,1.059970110654830933e-01,1.115807145833969116e-01,6.823258996009826660e-01,-4.872106909751892090e-01,4.971582591533660889e-01,1.617294698953628540e-01,-9.770730137825012207e-02,-1.560412943363189697e-01,-1.838327497243881226e-01,-9.816783070564270020e-01,6.915211081504821777e-01,2.945220768451690674e-01,-4.199234247207641602e-01,-1.675427705049514771e-01,2.587455213069915771e-01
2.748492546379566193e-02,5.371058359742164612e-03,8.130607604980468750e-01,-1.135554513894021511e-03,5.792114883661270142e-02,8.105937242507934570e-01,5.827363133430480957e-01,7.083708792924880981e-02,2.445205003023147583e-01,5.598466992378234863e-01,2.601762115955352783e-01,6.617666035890579224e-02,-7.283523678779602051e-02,1.301902625709772110e-02,-3.199210166931152344e-01,-8.029661774635314941e-01,4.752208665013313293e-02,-3.621254488825798035e-02,1.197582557797431946e-01,1.663750410079956055e-02,1.235397309064865112e-01,1.085208803415298462e-01,6.834404170513153076e-02,5.767557024955749512e-01,-5.502766370773315430e-01,6.594598889350891113e-01,1.559817790985107422e-01,-1.458589583635330200e-01,-1.515660285949707031e-01,-1.845787316560745239e-01,-1.054220795631408691e+00,6.993736624717712402e-01,3.561857938766479492e-01,-4.255638122558593750e-01,-2.219367772340774536e-01,2.272910177707672119e-01
3.902085125446319580e-02,1.769022643566131592e-02,8.143490552902221680e-01,5.051733460277318954e-03,5.913925170898437500e-02,7.992582321166992188e-01,5.980495810508728027e-01,5.425077304244041443e-02,2.298537939786911011e-01,5.463443994522094727e-01,2.807660698890686035e-01,5.355324968695640564e-02,-5.823734402656555176e-02,2.537682838737964630e-02,-2.974311113357543945e-01,-7.745352387428283691e-01,3.715471550822257996e-02,-6.058959290385246277e-02,1.177519410848617554e-01,1.887062750756740570e-02,1.377863138914108276e-01,1.172585189342498779e-01,8.668970316648483276e-02,5.506709218025207520e-01,-5.553200244903564453e-01,7.292891740798950195e-01,1.694028377532958984e-01,-1.458770185708999634e-01,-1.613244116306304932e-01,-1.876881569623947144e-01,-1.087422609329223633e+00,6.832127571105957031e-01,3.800102174282073975e-01,-4.229814112186431885e-01,-2.281723022460937500e-01,2.230660021305084229e-01
5.026258155703544617e-02,2.751942165195941925e-02,8.157052993774414062e-01,1.215415913611650467e-02,5.856371670961380005e-02,7.824027538299560547e-01,6.198939085006713867e-01,3.415732085704803467e-02,2.082069814205169678e-01,5.248172879219055176e-01,2.900977134704589844e-01,4.309016838669776917e-02,-4.690346494317054749e-02,3.139290958642959595e-02,-2.764628529548645020e-01,-7.300320863723754883e-01,3.283242881298065186e-02,-7.527561485767364502e-02,1.174393296241760254e-01,2.666294574737548828e-02,1.464545875787734985e-01,1.344728320837020874e-01,1.135215759277343750e-01,5.323166251182556152e-01,-5.543383359909057617e-01,7.865791916847229004e-01,1.906378269195556641e-01,-1.446575522422790527e-01,-1.719092428684234619e-01,-1.917762756347656250e-01,-1.106869935989379883e+00,6.591138839721679688e-01,4.194560348987579346e-01,-4.238953590393066406e-01,-2.213669866323471069e-01,2.091321200132369995e-01
6.311555206775665283e-02,3.700048103928565979e-02,8.168444037437438965e-01,1.988408714532852173e-02,5.702815204858779907e-02,7.628487348556518555e-01,6.437501311302185059e-01,3.981889225542545319e-03,1.807958185672760010e-01,4.907199144363403320e-01,2.862625122070312500e-01,2.936121635138988495e-02,-3.827564045786857605e-02,3.882362693548202515e-02,-2.525001764297485352e-01,-6.746701002120971680e-01,2.745342999696731567e-02,-8.681359887123107910e-02,1.180336996912956238e-01,4.606468975543975830e-02,1.537904292345046997e-01,1.526809334754943848e-01,1.412733495235443115e-01,5.132097005844116211e-01,-5.435984134674072266e-01,8.354716897010803223e-01,2.115429490804672241e-01,-1.433824896812438965e-01,-1.740115880966186523e-01,-1.966356933116912842e-01,-1.112262129783630371e+00,6.231201887130737305e-01,4.840185046195983887e-01,-4.152923226356506348e-01,-2.052255123853683472e-01,1.810564547777175903e-01
7.802867889404296875e-02,5.055239796638488770e-02,8.176292777061462402e-01,2.581974864006042480e-02,5.524588376283645630e-02,7.399613857269287109e-01,6.698793768882751465e-01,-3.224078565835952759e-02,1.534999758005142212e-01,4.456674456596374512e-01,2.705985009670257568e-01,1.835193298757076263e-02,-2.779773250222206116e-02,5.101650208234786987e-02,-2.205642312765121460e-01,-6.101869344711303711e-01,1.776998117566108704e-02,-9.738139063119888306e-02,1.133064776659011841e-01,6.744727492332458496e-02,1.621127426624298096e-01,1.693490594625473022e-01,1.667019873857498169e-01,4.909400343894958496e-01,-5.352934598922729492e-01,8.844007253646850586e-01,2.364259809255599976e-01,-1.432078033685684204e-01,-1.688206493854522705e-01,-2.025483846664428711e-01,-1.089965939521789551e+00,5.738906264305114746e-01,5.763502120971679688e-01,-3.947446346282958984e-01,-1.793661117553710938e-01,1.403095424175262451e-01
8.952045440673828125e-02,5.986562743782997131e-02,8.179367184638977051e-01,2.978611923754215240e-02,5.199263244867324829e-02,7.183085680007934570e-01,6.931394934654235840e-01,-6.829740852117538452e-02,1.329513192176818848e-01,3.981512784957885742e-01,2.482417523860931396e-01,1.144248060882091522e-02,-1.800088956952095032e-02,6.144550815224647522e-02,-1.915622204542160034e-01,-5.501247644424438477e-01,7.475391030311584473e-03,-9.925746917724609375e-02,1.055397540330886841e-01,8.900947123765945435e-02,1.683565080165863037e-01,1.857148110866546631e-01,1.809811145067214966e-01,4.694039821624755859e-01,-5.330586433410644531e-01,9.322819113731384277e-01,2.630473673343658447e-01,-1.469218879938125610e-01,-1.554619073867797852e-01,-2.110858410596847534e-01,-1.039755105972290039e+00,5.112487673759460449e-01,6.907197833061218262e-01,-3.680626451969146729e-01,-1.511417031288146973e-01,7.367579638957977295e-02
1.037558019161224365e-01,7.054351270198822021e-02,8.177182674407958984e-01,3.260742500424385071e-02,4.909496381878852844e-02,6.954086422920227051e-01,7.161936163902282715e-01,-9.869989007711410522e-02,1.157984510064125061e-01,3.592986464500427246e-01,2.239639312028884888e-01,3.527515567839145660e-03,-5.969204008579254150e-03,7.388401031494140625e-02,-1.590125858783721924e-01,-4.890271723270416260e-01,-2.666571177542209625e-03,-1.019927635788917542e-01,9.586071223020553589e-02,1.035182550549507141e-01,1.702639758586883545e-01,2.000001668930053711e-01,1.875414550304412842e-01,4.440583288669586182e-01,-5.442317128181457520e-01,9.741002917289733887e-01,2.984984815120697021e-01,-1.501404494047164917e-01,-1.347657889127731323e-01,-2.286246120929718018e-01,-9.578535556793212891e-01,4.362764656543731689e-01,8.262966871261596680e-01,-3.381338417530059814e-01,-1.152890250086784363e-01,-1.258671097457408905e-02
1.121222674846649170e-01,7.619832456111907959e-02,8.168325424194335938e-01,3.570204228162765503e-02,4.414918646216392517e-02,6.760789752006530762e-01,7.346382737159729004e-01,-1.290242820978164673e-01,1.065902411937713623e-01,3.255937397480010986e-01,2.118995636701583862e-01,6.274486891925334930e-03,-4.861675668507814407e-03,8.750516921281814575e-02,-1.352705210447311401e-01,-4.340686500072479248e-01,-1.219857390969991684e-02,-1.055655255913734436e-01,8.757854253053665161e-02,1.257275789976119995e-01,1.645210087299346924e-01,2.167202830314636230e-01,1.806731671094894409e-01,4.311911761760711670e-01,-5.510872006416320801e-01,1.003173708915710449e+00,3.070475161075592041e-01,-1.521803289651870728e-01,-1.203715950250625610e-01,-2.433592826128005981e-01,-8.973852396011352539e-01,3.980257511138916016e-01,9.092107415199279785e-01,-3.088150322437286377e-01,-1.045809015631675720e-01,-6.932096928358078003e-02
1.216887161135673523e-01,8.582160621881484985e-02,8.152376413345336914e-01,3.563134372234344482e-02,3.799379244446754456e-02,6.526910066604614258e-01,7.558315396308898926e-01,-1.596511453390121460e-01,9.830393642187118530e-02,2.921746075153350830e-01,1.857604086399078369e-01,1.293418183922767639e-02,-3.652267856523394585e-03,1.019445881247520447e-01,-1.045003235340118408e-01,-3.725818395614624023e-01,-1.568142138421535492e-02,-1.129073649644851685e-01,7.650868594646453857e-02,1.312609910964965820e-01,1.638550311326980591e-01,2.329869419336318970e-01,1.695499718189239502e-01,4.037677943706512451e-01,-5.472925305366516113e-01,1.028212666511535645e+00,2.976708114147186279e-01,-1.528074294328689575e-01,-1.070824563503265381e-01,-2.583347856998443604e-01,-8.168196082115173340e-01,3.390504717826843262e-01,9.869163036346435547e-01,-2.570898830890655518e-01,-8.991041779518127441e-02,-1.321181058883666992e-01
