expert,scene,angle_deg,category,direction,vx,vy,yaw,control_result,process_result,exit_code,log,csv
slope_down,5-platform,5,STRAIGHT,up,0.3,0,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5-platform_STRAIGHT_up.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5-platform_STRAIGHT_up.csv
slope_down,5-platform,5,STRAIGHT,down,-0.3,0,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5-platform_STRAIGHT_down.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5-platform_STRAIGHT_down.csv
slope_down,5-platform,5,DIAGONAL,up,0.25,0.20,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5-platform_DIAGONAL_up.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5-platform_DIAGONAL_up.csv
slope_down,5-platform,5,DIAGONAL,down,-0.25,0.20,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5-platform_DIAGONAL_down.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5-platform_DIAGONAL_down.csv
slope_down,5,5,CROSS,left,0,0.3,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5_CROSS_left.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5_CROSS_left.csv
slope_down,5,5,CROSS,right,0,-0.3,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5_CROSS_right.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5_CROSS_right.csv
slope_down,5,5,TURN,left,0,0,0.5,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5_TURN_left.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5_TURN_left.csv
slope_down,5,5,TURN,right,0,0,-0.5,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5_TURN_right.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/5_TURN_right.csv
slope_down,10,10,STAND,neutral,0,0,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10_STAND_neutral.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10_STAND_neutral.csv
slope_down,10-platform,10,STRAIGHT,up,0.3,0,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10-platform_STRAIGHT_up.log,results/meta_policy_paper_20260831/experts/slope_down_repeat_3/10-platform_STRAIGHT_up.csv
